"authorId","badges/0","badges/1","badges/2","badges/3","externalSource","itemType","negativeFeedback","positiveFeedback","productId","productName","productUrl","rating","recommended","reviewId","submissionTime","text","title","userNickname"
,"IncentivizedReviewYes",,,,"aspectiva","Review","0","0","821776888","Natrol Fast Dissolve Melatonin 10 mg Tablets, Citrus Natural Flavor 60 ea","https://www.walmart.com/ip/Natrol-Fast-Dissolve-Melatonin-10-mg-Tablets-Citrus-Natural-Flavor-60-ea/821776888?classType=REGULAR","5",,"a4bcb78f-18c3-0a37-d187-693103318672","2024-08-27","It works really well but you need to be carefull because it's an hormone. This hormone is produced by the body naturally but it tends to decrease with age. If you take daily, your body is going to omit your own production so you could create a problem in the future, netherless, it's by far better than diazepan and others.","It works really well but not a miracle","iHerbCustomer"
,"IncentivizedReviewYes",,,,"aspectiva","Review","0","0","821776888","Natrol Fast Dissolve Melatonin 10 mg Tablets, Citrus Natural Flavor 60 ea","https://www.walmart.com/ip/Natrol-Fast-Dissolve-Melatonin-10-mg-Tablets-Citrus-Natural-Flavor-60-ea/821776888?classType=REGULAR","5",,"5ad5c56e-4ce3-e3ea-5088-a1cf36d8b03d","2024-09-03","I have tried many brands of melatonin.  Natrol is my go-to brand. For some reason, it just seems to work the best and fastest for me. I start to feel drowsy within 20-30 minutes. Like all melatonin brands, they don't make you feel drowsy the next day.  Highly recommended!","The best melatonin brand","iHerb customer"
,"IncentivizedReviewYes",,,,"aspectiva","Review","0","0","821776888","Natrol Fast Dissolve Melatonin 10 mg Tablets, Citrus Natural Flavor 60 ea","https://www.walmart.com/ip/Natrol-Fast-Dissolve-Melatonin-10-mg-Tablets-Citrus-Natural-Flavor-60-ea/821776888?classType=REGULAR","5",,"df9277aa-30ae-a5ea-c0b3-03aedef42a0c","2024-06-03","Works quickly and well. My son has been using this product for years and it's always been a relief knowing we can rely on it when he needs it. The large size bottle is great as it lasts forever. He loves the taste of the strawberry or lemon so really can't go wrong. ","A+ Product!","iHerb Customer"
,"IncentivizedReviewYes",,,,"aspectiva","Review","0","0","821776888","Natrol Fast Dissolve Melatonin 10 mg Tablets, Citrus Natural Flavor 60 ea","https://www.walmart.com/ip/Natrol-Fast-Dissolve-Melatonin-10-mg-Tablets-Citrus-Natural-Flavor-60-ea/821776888?classType=REGULAR","5",,"9fc454ee-f35b-0b48-2b04-c437d037762f","2024-07-05","These tablets are great for helping you get to sleep without feeling groggy the next morning. Most of the time I only take half a tablet which I find sufficient unless I am really wound up and can't sleep then I take a whole tablet. Taste is quite acceptable too.","works well","iHerb Customer"
,"IncentivizedReviewYes",,,,"aspectiva","Review","0","0","821776888","Natrol Fast Dissolve Melatonin 10 mg Tablets, Citrus Natural Flavor 60 ea","https://www.walmart.com/ip/Natrol-Fast-Dissolve-Melatonin-10-mg-Tablets-Citrus-Natural-Flavor-60-ea/821776888?classType=REGULAR","5",,"9fc2eead-3a64-73d7-8f6f-203202039448","2024-07-23","I have been using this for a couple of years now and really enjoy it. I have always had trouble sleeping and since using melatonin this has been my number one choice of brand. I have tried a few other products in the range of different dosage sizes and flavours and this one seems to be the best. I can keep it on my bedside and have it before bed without any water which makes it really convenient. It has a great taste and the benefits on my and mental health are fantastic. ","Highly recommend this high-quality product! ","iHerb Customer"
,"IncentivizedReviewYes",,,,"aspectiva","Review","0","0","821776888","Natrol Fast Dissolve Melatonin 10 mg Tablets, Citrus Natural Flavor 60 ea","https://www.walmart.com/ip/Natrol-Fast-Dissolve-Melatonin-10-mg-Tablets-Citrus-Natural-Flavor-60-ea/821776888?classType=REGULAR","5",,"ec55d3b9-9ed3-f1dc-db03-484d236a8085","2024-06-08","It's quite tasty lol. More importantly is that it works. It takes some time to work but it does work. Both myself and my wife take it almost daily. For people with severe chronic insomnia, this is not a silver bullet. You still need to speak with a professional medical practitioner to resolve underlying issues.","Effective to help sleep.","iHerb Customer"
,"IncentivizedReviewYes",,,,"aspectiva","Review","0","0","821776888","Natrol Fast Dissolve Melatonin 10 mg Tablets, Citrus Natural Flavor 60 ea","https://www.walmart.com/ip/Natrol-Fast-Dissolve-Melatonin-10-mg-Tablets-Citrus-Natural-Flavor-60-ea/821776888?classType=REGULAR","5",,"935a0da2-e4af-c0f3-aca6-4f05ca181ebe","2024-08-30","Easy to swallow, fast dissolving help you get to sleep faster, pleasant citrus taste. 
10mg works perfect for a good restful nights sleep. Excellent value for money","Melatonin ","iHerb customer"
,"IncentivizedReviewYes",,,,"aspectiva","Review","0","0","821776888","Natrol Fast Dissolve Melatonin 10 mg Tablets, Citrus Natural Flavor 60 ea","https://www.walmart.com/ip/Natrol-Fast-Dissolve-Melatonin-10-mg-Tablets-Citrus-Natural-Flavor-60-ea/821776888?classType=REGULAR","5",,"5cb3507c-d2f0-78f1-8d6e-d8c35f16669f","2024-08-03","For sleep this is the best help except sleeping pills. It does help me sleep on ordinary days without  a side effect except when stressed, disturbed or depressed. That is what I expect from Melatonin. I will continue to use this 10mg.","Good help","iHerb Customer"
,"IncentivizedReviewYes",,,,"aspectiva","Review","0","0","821776888","Natrol Fast Dissolve Melatonin 10 mg Tablets, Citrus Natural Flavor 60 ea","https://www.walmart.com/ip/Natrol-Fast-Dissolve-Melatonin-10-mg-Tablets-Citrus-Natural-Flavor-60-ea/821776888?classType=REGULAR","5",,"e5d9739c-f051-8643-181a-7fd0545bf693","2024-04-17","I've been an insomniac for most of my adult life...always finding it difficult to getting to sleep.  I've tried homoeopathic remedies, prescription medication and the list goes on.  The side effects to those made it difficult for me to focus the next morning.  Then one day...My son's Peadiatrician recommended melatonin as it assists your body clock in to believing it's bed time, or something like that. A couple of nurses who work night shifts then also recommended it so I thought I'd give it a try. Best thing I've done. And this product is the only one I've persisted with because when you find something that works, why look elsewhere. I've been taking Melatonin for over a year now, as has my son, and its one of the best decisions I ever made. I take it about an hour before I want to go to sleep and it works!! It really works. I could not recommend this product more highly. Brilliant product for insomniacs like me.  And no hangover the next day. And it has a pleasant taste.","Brilliant for insomniacs like me!","iHerb Customer"
,"IncentivizedReviewYes",,,,"aspectiva","Review","0","0","821776888","Natrol Fast Dissolve Melatonin 10 mg Tablets, Citrus Natural Flavor 60 ea","https://www.walmart.com/ip/Natrol-Fast-Dissolve-Melatonin-10-mg-Tablets-Citrus-Natural-Flavor-60-ea/821776888?classType=REGULAR","5",,"083e693b-8098-9cd0-cbef-c9bd9e9e70e6","2024-05-24","this is a good source of melatonin with good quality and ingredients and size .its benefit for sleeping and stress and insomnia. you start with small dosage then you add more for better sleeping.  it has lemon taste. i hope you enjoy reading my comments.  i really recommend it for you ","melatonin","iHerb Customer"
